Wikidata ID,Chicago,Lean 4 Undergrad,MuLiMa,nLab
Q14481419,,0-1 law,,
Q318737,,,abelian category,abelian category
Q181296,abelian,,commutative group,finite abelian group
Q318598,abelianization,,,
Q515874,,,abscissa,
Q20827138,absolute continuity of measure,,,
Q332504,absolute continuity,,,absolutely continuous measure
Q332465,,absolute convergence,,absolute convergence
Q120812,absolute value,,absolute value,absolute value (mathematics)
Q91134251,,,absolutely convergent series,
Q844451,,,acnode,
Q32043,,,addition,
Q4681343,,,additive category,additive category
Q357858,,,adjoint,unit (category theory)
Q2858846,adjoint of a linear transformation,transpose of a linear map,,
Q4379157,adjoint representation of a lie algebra,,,
Q1017106,adjoint representation of a lie group,adjoint endomorphism,,adjoint representation
Q225107,adjugate,,,
Q91435997,,,affine scheme,
Q382504,,affine span,,
Q382698,,affine subspace,,affine space (algebraic geometry)
Q382497,algebra homomorphism,affine function,,
Q246506,algebra of subsets,,,
Q1000660,algebra over a field,algebra over a commutative ring,algebra,algebra (ring theory)
Q1047547,,,algebraically closed field,algebraically closed field
Q8366,,,algorithm,algorithm
Q1139334,almost everywhere,,,
Q25377974,almost uniform convergence,,,
Q438814,alternating group,alternating group,,alternating group
Q438842,,alternating series,alternating series,
Q485312,,,analytic set,
Q567083,annihilator of a submodule,,,
Q114326,,antiderivative,,indefinite integral
Q1477053,,arzela-Ascoli theorem,,
Q744960,associative algebra,,,
Q177251,associative,,,associativity
Q4820423,augmentation ideal,,,augmentation ideal
Q60790315,automorphism group,,,
Q782566,automorphism,,,automorphism
Q788009,,autonomous differential equation,,
Q2976036,baire class,,,
Q194397,banach space,,,banach space
Q3459695,banach-mazur game,,,
Q809690,,barycenter,barycenter,barycenter
Q738422,barycentric coordinates,,,
Q4078260,barycentric subdivision,,,
Q4866725,,bases,,
Q810193,basis for abelian group,,,
Q180907,bijective,,bijective correspondence,one-to-one correspondence
Q837924,,bilinear form,,bilinear form
Q164307,binary operation,,,
Q130901,binary relation,,,relation (mathematics)
Q866300,,bisection method,,
Q468391,,bolzano-Weierstrass theorem,,
